UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_Encoded,Failure_Heat Dissipation Failure,Failure_No Failure,Failure_Overstrain Failure,Failure_Power Failure,Failure_Random Failures,Failure_Tool Wear Failure,Tool_Wear_Bin,RPM_Bin
76,L47255,L,298.8,308.9,1379.0,46.7,204,0,1,False,True,False,False,False,False,High,Low
77,L47256,L,298.8,308.9,1461.0,47.9,206,0,1,False,True,False,False,False,False,High,Medium
78,L47257,L,298.8,308.9,1455.0,41.3,208,1,1,False,False,False,False,False,True,High,Medium
79,L47258,L,298.8,308.9,1398.0,51.5,0,0,1,False,True,False,False,False,False,Low,Low
80,L47259,L,298.8,308.9,1402.0,37.9,2,0,1,False,True,False,False,False,False,Low,Medium
81,H29494,H,298.8,308.8,1445.0,49.9,4,0,0,False,True,False,False,False,False,Low,Medium
82,L47261,L,298.9,308.9,1450.0,47.5,9,0,1,False,True,False,False,False,False,Low,Medium
83,L47262,L,298.9,308.9,1453.0,40.8,11,0,1,False,True,False,False,False,False,Low,Medium
84,L47263,L,299.0,309.0,1469.0,40.1,13,0,1,False,True,False,False,False,False,Low,Medium
85,L47264,L,298.9,308.9,1422.0,47.6,15,0,1,False,True,False,False,False,False,Low,Medium
86,M14945,M,299.0,309.0,1804.0,26.8,17,0,2,False,True,False,False,False,False,Low,High
87,H29500,H,299.0,309.0,1436.0,43.9,20,0,0,False,True,False,False,False,False,Low,Medium
88,L47267,L,299.0,309.0,1544.0,31.8,25,0,1,False,True,False,False,False,False,Low,Medium
89,M14948,M,299.0,309.0,1419.0,45.2,27,0,2,False,True,False,False,False,False,Low,Medium
90,M14949,M,298.9,308.9,1487.0,39.5,30,0,2,False,True,False,False,False,False,Low,Medium
91,L47270,L,298.9,308.9,1753.0,25.8,33,0,1,False,True,False,False,False,False,Low,High
92,L47271,L,298.9,308.9,1830.0,24.9,35,0,1,False,True,False,False,False,False,Low,High
93,M14952,M,298.9,308.9,1727.0,27.1,37,0,2,False,True,False,False,False,False,Low,High
94,L47273,L,299.1,309.0,1450.0,43.0,40,0,1,False,True,False,False,False,False,Low,Medium
95,L47274,L,299.0,308.9,1622.0,31.9,42,0,1,False,True,False,False,False,False,Low,High
96,M14955,M,299.0,309.0,1351.0,52.2,44,0,2,False,True,False,False,False,False,Low,Low
97,M14956,M,299.0,309.0,1575.0,35.3,47,0,2,False,True,False,False,False,False,Low,Medium
98,M14957,M,298.9,308.9,1750.0,29.9,50,0,2,False,True,False,False,False,False,Low,High
99,L47278,L,298.9,308.8,1529.0,32.7,53,0,1,False,True,False,False,False,False,Medium,Medium
100,L47279,L,298.8,308.8,1523.0,44.4,55,0,1,False,True,False,False,False,False,Medium,Medium
101,L47280,L,298.8,308.9,1852.0,25.0,57,0,1,False,True,False,False,False,False,Medium,High
102,L47281,L,298.8,308.8,1895.5,20.7,59,0,1,False,True,False,False,False,False,Medium,High
103,L47282,L,298.8,308.8,1555.0,40.6,61,0,1,False,True,False,False,False,False,Medium,Medium
104,M14963,M,298.8,308.8,1441.0,40.5,63,0,2,False,True,False,False,False,False,Medium,Medium
105,L47284,L,298.8,308.7,1450.0,43.4,66,0,1,False,True,False,False,False,False,Medium,Medium
106,L47285,L,298.8,308.7,1591.0,31.1,68,0,1,False,True,False,False,False,False,Medium,Medium
107,L47286,L,298.8,308.7,1445.0,48.5,70,0,1,False,True,False,False,False,False,Medium,Medium
108,M14967,M,298.8,308.8,1497.0,46.8,72,0,2,False,True,False,False,False,False,Medium,Medium
109,H29522,H,298.9,308.8,1621.0,32.7,75,0,0,False,True,False,False,False,False,Medium,High
110,L47289,L,298.9,308.7,1572.0,34.1,80,0,1,False,True,False,False,False,False,Medium,Medium
111,L47290,L,298.8,308.6,1872.0,22.5,82,0,1,False,True,False,False,False,False,Medium,High
112,H29525,H,298.7,308.6,1499.0,43.5,84,0,0,False,True,False,False,False,False,Medium,Medium
113,M14972,M,298.8,308.7,1498.0,39.5,89,0,2,False,True,False,False,False,False,Medium,Medium
114,M14973,M,298.8,308.6,1486.0,41.9,92,0,2,False,True,False,False,False,False,Medium,Medium
115,L47294,L,298.8,308.6,1680.0,29.4,95,0,1,False,True,False,False,False,False,Medium,High
116,L47295,L,298.8,308.6,1431.0,45.7,97,0,1,False,True,False,False,False,False,Medium,Medium
117,L47296,L,298.9,308.7,1564.0,34.1,99,0,1,False,True,False,False,False,False,Medium,Medium
118,L47297,L,298.8,308.6,1599.0,33.0,101,0,1,False,True,False,False,False,False,Medium,Medium
119,M14978,M,298.8,308.6,1707.0,28.1,103,0,2,False,True,False,False,False,False,Medium,High
120,L47299,L,298.7,308.5,1467.0,40.7,106,0,1,False,True,False,False,False,False,Medium,Medium
121,L47300,L,298.9,308.7,1433.0,44.7,108,0,1,False,True,False,False,False,False,Medium,Medium
122,L47301,L,298.9,308.7,1558.0,41.2,110,0,1,False,True,False,False,False,False,Medium,Medium
123,L47302,L,299.0,308.8,1310.0,50.7,112,0,1,False,True,False,False,False,False,Medium,Low
124,L47303,L,298.9,308.7,1546.0,43.4,114,0,1,False,True,False,False,False,False,Medium,Medium
125,L47304,L,298.9,308.7,1727.0,29.4,116,0,1,False,True,False,False,False,False,Medium,High
126,L47305,L,298.9,308.6,1560.0,32.2,118,0,1,False,True,False,False,False,False,Medium,Medium
127,L47306,L,299.0,308.6,1329.0,60.5,120,0,1,False,True,False,False,False,False,Medium,Low
128,L47307,L,298.9,308.6,1413.0,46.5,122,0,1,False,True,False,False,False,False,Medium,Medium
129,L47308,L,299.0,308.6,1587.0,38.6,124,0,1,False,True,False,False,False,False,Medium,Medium
130,L47309,L,298.9,308.5,1559.0,34.3,126,0,1,False,True,False,False,False,False,Medium,Medium
131,L47310,L,298.8,308.4,1473.0,41.1,128,0,1,False,True,False,False,False,False,Medium,Medium
132,L47311,L,298.8,308.4,1737.0,27.7,130,0,1,False,True,False,False,False,False,Medium,High
133,M14992,M,298.7,308.4,1441.0,43.2,132,0,2,False,True,False,False,False,False,Medium,Medium
134,M14993,M,298.7,308.4,1430.0,49.6,135,0,2,False,True,False,False,False,False,Medium,Medium
135,L47314,L,298.8,308.4,1369.0,53.0,138,0,1,False,True,False,False,False,False,Medium,Low
136,M14995,M,298.8,308.5,1711.0,28.5,140,0,2,False,True,False,False,False,False,Medium,High
137,H29550,H,298.7,308.5,1420.0,45.7,143,0,0,False,True,False,False,False,False,Medium,Medium
138,L47317,L,298.7,308.6,1297.0,55.3,148,0,1,False,True,False,False,False,False,Medium,Low
139,H29552,H,298.8,308.6,1449.0,49.4,150,0,0,False,True,False,False,False,False,Medium,Medium
140,L47319,L,298.8,308.6,1268.0,55.8,155,0,1,False,True,False,False,False,False,High,Low
141,L47320,L,298.8,308.6,1511.0,36.1,157,0,1,False,True,False,False,False,False,High,Medium
142,L47321,L,298.7,308.5,1544.0,35.2,159,0,1,False,True,False,False,False,False,High,Medium
143,M15002,M,298.6,308.4,1778.0,28.2,161,0,2,False,True,False,False,False,False,High,High
144,H29557,H,298.6,308.4,1407.0,50.5,164,0,0,False,True,False,False,False,False,High,Medium
145,M15004,M,298.6,308.4,1391.0,42.4,169,0,2,False,True,False,False,False,False,High,Low
146,L47325,L,298.5,308.4,1513.0,33.6,172,0,1,False,True,False,False,False,False,High,Medium
147,H29560,H,298.5,308.4,1612.0,36.1,174,0,0,False,True,False,False,False,False,High,High
148,L47327,L,298.4,308.4,1515.0,40.1,179,0,1,False,True,False,False,False,False,High,Medium
149,M15008,M,298.3,308.3,1379.0,48.0,181,0,2,False,True,False,False,False,False,High,Low
150,L47329,L,298.4,308.3,1473.0,39.9,184,0,1,False,True,False,False,False,False,High,Medium
151,L47330,L,298.4,308.3,1422.0,42.7,186,0,1,False,True,False,False,False,False,High,Medium
152,M15011,M,298.4,308.2,1463.0,37.6,188,0,2,False,True,False,False,False,False,High,Medium
153,M15012,M,298.4,308.2,1584.0,41.0,191,0,2,False,True,False,False,False,False,High,Medium
154,L47333,L,298.4,308.2,1850.0,27.0,194,0,1,False,True,False,False,False,False,High,High
155,L47334,L,298.4,308.2,1528.0,36.2,196,0,1,False,True,False,False,False,False,High,Medium
156,H29569,H,298.4,308.2,1895.5,19.8,198,0,0,False,True,False,False,False,False,High,High
157,M15016,M,298.4,308.1,1495.0,46.0,203,0,2,False,True,False,False,False,False,High,Medium
158,H29571,H,298.4,308.2,1478.0,43.5,206,0,0,False,True,False,False,False,False,High,Medium
159,M15018,M,298.4,308.2,1499.0,40.0,211,0,2,False,True,False,False,False,False,High,Medium
160,L47339,L,298.4,308.2,1471.0,47.0,214,0,1,False,True,False,False,False,False,High,Medium
161,L47340,L,298.4,308.2,1282.0,60.7,216,1,1,False,False,True,False,False,False,High,Low
162,L47341,L,298.3,308.1,1412.0,52.3,218,1,1,False,False,True,False,False,False,High,Medium
163,L47342,L,298.3,308.1,1586.0,35.5,0,0,1,False,True,False,False,False,False,Low,Medium
164,M15023,M,298.4,308.2,1468.0,43.8,2,0,2,False,True,False,False,False,False,Low,Medium
165,M15024,M,298.5,308.3,1440.0,43.6,5,0,2,False,True,False,False,False,False,Low,Medium
166,L47345,L,298.5,308.4,1733.0,26.0,8,0,1,False,True,False,False,False,False,Low,High
167,H29580,H,298.4,308.2,1612.0,32.6,10,0,0,False,True,False,False,False,False,Low,High
168,H29581,H,298.4,308.3,1458.0,42.9,15,0,0,False,True,False,False,False,False,Low,Medium
169,L47348,L,298.4,308.3,1433.0,62.3,20,1,1,False,False,False,True,False,False,Low,Medium
170,L47349,L,298.4,308.3,1318.0,59.1,22,0,1,False,True,False,False,False,False,Low,Low
171,M15030,M,298.4,308.2,1610.0,35.0,24,0,2,False,True,False,False,False,False,Low,High
172,L47351,L,298.2,308.1,1462.0,50.8,27,0,1,False,True,False,False,False,False,Low,Medium
173,M15032,M,298.1,308.0,1895.5,20.8,29,0,2,False,True,False,False,False,False,Low,High
174,M15033,M,298.2,308.0,1591.0,33.7,32,0,2,False,True,False,False,False,False,Low,Medium
175,L47354,L,298.2,308.1,1306.0,58.3,35,0,1,False,True,False,False,False,False,Low,Low
176,L47355,L,298.2,308.1,1382.0,43.5,37,0,1,False,True,False,False,False,False,Low,Low
177,L47356,L,298.2,308.1,1618.0,34.7,39,0,1,False,True,False,False,False,False,Low,High
178,L47357,L,298.2,308.2,1895.5,21.4,41,0,1,False,True,False,False,False,False,Low,High
179,L47358,L,298.2,308.2,1436.0,50.2,43,0,1,False,True,False,False,False,False,Low,Medium
180,L47359,L,298.2,308.3,1304.0,49.8,45,0,1,False,True,False,False,False,False,Low,Low
181,L47360,L,298.2,308.3,1475.0,49.9,47,0,1,False,True,False,False,False,False,Low,Medium
182,H29595,H,298.2,308.3,1824.0,24.2,49,0,0,False,True,False,False,False,False,Low,High
183,M15042,M,298.1,308.2,1342.0,48.1,54,0,2,False,True,False,False,False,False,Medium,Low
184,L47363,L,298.1,308.2,1485.0,40.7,57,0,1,False,True,False,False,False,False,Medium,Medium
185,L47364,L,298.2,308.2,1667.0,30.6,59,0,1,False,True,False,False,False,False,Medium,High
186,L47365,L,298.2,308.2,1446.0,38.2,61,0,1,False,True,False,False,False,False,Medium,Medium
187,L47366,L,298.1,308.3,1301.0,56.0,63,0,1,False,True,False,False,False,False,Medium,Low
188,L47367,L,298.2,308.4,1379.0,43.1,65,0,1,False,True,False,False,False,False,Medium,Low
189,L47368,L,298.3,308.5,1606.0,33.6,67,0,1,False,True,False,False,False,False,Medium,High
190,M15049,M,298.3,308.4,1539.0,43.4,69,0,2,False,True,False,False,False,False,Medium,Medium
191,L47370,L,298.2,308.4,1477.0,49.9,72,0,1,False,True,False,False,False,False,Medium,Medium
192,L47371,L,298.2,308.4,1666.0,34.6,74,0,1,False,True,False,False,False,False,Medium,High
193,H29606,H,298.2,308.4,1398.0,51.8,76,0,0,False,True,False,False,False,False,Medium,Low
194,H29607,H,298.2,308.4,1678.0,34.6,81,0,0,False,True,False,False,False,False,Medium,High
195,M15054,M,298.2,308.5,1895.5,12.800000000000011,86,1,2,False,False,False,True,False,False,Medium,High
196,L47375,L,298.3,308.5,1453.0,42.9,89,0,1,False,True,False,False,False,False,Medium,Medium
197,H29610,H,298.3,308.6,1432.0,49.5,91,0,0,False,True,False,False,False,False,Medium,Medium
198,M15057,M,298.4,308.6,1527.0,40.9,96,0,2,False,True,False,False,False,False,Medium,Medium
199,L47378,L,298.4,308.7,1588.0,35.0,99,0,1,False,True,False,False,False,False,Medium,Medium
200,L47379,L,298.4,308.6,1433.0,47.1,101,0,1,False,True,False,False,False,False,Medium,Medium
201,L47380,L,298.4,308.6,1609.0,35.0,103,0,1,False,True,False,False,False,False,Medium,High
202,L47381,L,298.3,308.5,1575.0,41.2,105,0,1,False,True,False,False,False,False,Medium,Medium
203,M15062,M,298.4,308.5,1636.0,35.7,107,0,2,False,True,False,False,False,False,Medium,High
204,L47383,L,298.4,308.5,1490.0,37.9,110,0,1,False,True,False,False,False,False,Medium,Medium
205,L47384,L,298.4,308.5,1741.0,32.8,112,0,1,False,True,False,False,False,False,Medium,High
206,M15065,M,298.5,308.6,1344.0,53.0,114,0,2,False,True,False,False,False,False,Medium,Low
207,L47386,L,298.5,308.7,1609.0,35.3,117,0,1,False,True,False,False,False,False,Medium,High
208,M15067,M,298.4,308.7,1421.0,60.7,119,1,2,False,False,False,True,False,False,Medium,Medium
209,L47388,L,298.4,308.6,1591.0,36.7,122,0,1,False,True,False,False,False,False,Medium,Medium
210,L47389,L,298.4,308.6,1477.0,44.0,124,0,1,False,True,False,False,False,False,Medium,Medium
211,L47390,L,298.4,308.7,1523.0,36.1,126,0,1,False,True,False,False,False,False,Medium,Medium
212,L47391,L,298.5,308.7,1575.0,33.9,128,0,1,False,True,False,False,False,False,Medium,Medium
213,H29626,H,298.4,308.7,1344.0,52.9,130,0,0,False,True,False,False,False,False,Medium,Low
214,L47393,L,298.4,308.7,1386.0,44.9,135,0,1,False,True,False,False,False,False,Medium,Low
215,M15074,M,298.3,308.6,1589.0,37.1,137,0,2,False,True,False,False,False,False,Medium,Medium
216,L47395,L,298.3,308.6,1548.0,40.3,140,0,1,False,True,False,False,False,False,Medium,Medium
217,L47396,L,298.3,308.6,1499.0,38.3,142,0,1,False,True,False,False,False,False,Medium,Medium
218,L47397,L,298.3,308.5,1664.0,31.6,144,0,1,False,True,False,False,False,False,Medium,High
219,L47398,L,298.3,308.6,1447.0,38.1,146,0,1,False,True,False,False,False,False,Medium,Medium
220,M15079,M,298.3,308.5,1434.0,46.2,148,0,2,False,True,False,False,False,False,Medium,Medium
221,L47400,L,298.3,308.5,1416.0,52.7,151,0,1,False,True,False,False,False,False,High,Medium
222,H29635,H,298.4,308.5,1827.0,24.3,153,0,0,False,True,False,False,False,False,High,High
223,L47402,L,298.4,308.6,1304.0,45.0,158,0,1,False,True,False,False,False,False,High,Low
224,L47403,L,298.4,308.6,1569.0,34.4,160,0,1,False,True,False,False,False,False,High,Medium
225,L47404,L,298.3,308.6,1584.0,29.3,162,0,1,False,True,False,False,False,False,High,Medium
226,L47405,L,298.3,308.5,1362.0,53.8,164,0,1,False,True,False,False,False,False,High,Low
227,L47406,L,298.3,308.4,1329.0,49.2,166,0,1,False,True,False,False,False,False,High,Low
228,L47407,L,298.3,308.5,1539.0,36.1,168,0,1,False,True,False,False,False,False,High,Medium
229,M15088,M,298.3,308.5,1629.0,37.1,170,0,2,False,True,False,False,False,False,High,High
230,L47409,L,298.3,308.5,1538.0,32.2,173,0,1,False,True,False,False,False,False,High,Medium
231,L47410,L,298.3,308.6,1570.0,34.8,175,0,1,False,True,False,False,False,False,High,Medium
232,L47411,L,298.3,308.4,1408.0,43.1,177,0,1,False,True,False,False,False,False,High,Medium
233,L47412,L,298.2,308.4,1424.0,47.6,179,0,1,False,True,False,False,False,False,High,Medium
234,L47413,L,298.2,308.4,1512.0,34.9,181,0,1,False,True,False,False,False,False,High,Medium
235,L47414,L,298.2,308.4,1478.0,42.9,183,0,1,False,True,False,False,False,False,High,Medium
236,M15095,M,298.1,308.3,1680.0,33.7,185,0,2,False,True,False,False,False,False,High,High
237,L47416,L,298.1,308.3,1495.0,38.7,188,0,1,False,True,False,False,False,False,High,Medium
238,M15097,M,298.0,308.1,1552.0,36.6,190,0,2,False,True,False,False,False,False,High,Medium
239,L47418,L,297.9,308.1,1393.0,50.3,193,0,1,False,True,False,False,False,False,High,Low
240,L47419,L,298.0,308.2,1611.0,30.6,195,0,1,False,True,False,False,False,False,High,High
241,M15100,M,298.0,308.1,1339.0,51.6,197,0,2,False,True,False,False,False,False,High,Low
242,L47421,L,298.0,308.1,1777.0,24.3,200,0,1,False,True,False,False,False,False,High,High
243,L47422,L,298.0,308.2,1348.0,58.8,202,1,1,False,False,True,False,False,False,High,Low
244,L47423,L,298.0,308.2,1442.0,44.1,204,0,1,False,True,False,False,False,False,High,Medium
245,M15104,M,298.0,308.2,1395.0,49.1,206,0,2,False,True,False,False,False,False,High,Low
246,M15105,M,297.9,308.1,1627.0,31.4,209,0,2,False,True,False,False,False,False,High,High
247,L47426,L,297.9,308.1,1585.0,33.5,212,0,1,False,True,False,False,False,False,High,Medium
248,L47427,L,298.0,308.2,1469.0,45.5,214,0,1,False,True,False,False,False,False,High,Medium
249,L47428,L,298.0,308.3,1362.0,56.8,216,1,1,False,False,True,False,False,False,High,Low
250,L47429,L,298.0,308.3,1405.0,56.2,218,1,1,False,False,True,False,False,False,High,Medium
251,L47430,L,298.0,308.3,1662.0,32.7,0,0,1,False,True,False,False,False,False,Low,High
252,M15111,M,298.0,308.2,1466.0,42.6,2,0,2,False,True,False,False,False,False,Low,Medium
253,L47432,L,298.0,308.2,1620.0,35.8,5,0,1,False,True,False,False,False,False,Low,High
254,L47433,L,298.0,308.2,1357.0,48.2,7,0,1,False,True,False,False,False,False,Low,Low
255,L47434,L,298.0,308.2,1514.0,37.9,9,0,1,False,True,False,False,False,False,Low,Medium
256,L47435,L,298.0,308.2,1489.0,40.4,11,0,1,False,True,False,False,False,False,Low,Medium
257,L47436,L,298.1,308.3,1331.0,63.0,13,0,1,False,True,False,False,False,False,Low,Low
258,L47437,L,298.0,308.0,1615.0,29.5,15,0,1,False,True,False,False,False,False,Low,High
259,L47438,L,298.1,308.2,1482.0,37.9,17,0,1,False,True,False,False,False,False,Low,Medium
260,M15119,M,298.1,308.2,1420.0,63.9,19,1,2,False,False,False,True,False,False,Low,Medium
261,M15120,M,298.2,308.3,1522.0,49.1,22,0,2,False,True,False,False,False,False,Low,Medium
262,L47441,L,298.1,308.2,1654.0,32.1,25,0,1,False,True,False,False,False,False,Low,High
263,M15122,M,298.1,308.2,1736.0,26.8,27,0,2,False,True,False,False,False,False,Low,High
264,M15123,M,298.0,308.1,1587.0,32.3,30,0,2,False,True,False,False,False,False,Low,Medium
265,L47444,L,298.1,308.2,1390.0,47.5,33,0,1,False,True,False,False,False,False,Low,Low
266,L47445,L,298.0,308.1,1454.0,37.1,35,0,1,False,True,False,False,False,False,Low,Medium
267,H29680,H,298.0,308.1,1440.0,43.7,37,0,0,False,True,False,False,False,False,Low,Medium
268,L47447,L,297.9,308.0,1895.5,21.1,42,0,1,False,True,False,False,False,False,Low,High
269,H29682,H,297.9,308.0,1800.0,24.8,44,0,0,False,True,False,False,False,False,Low,High
270,L47449,L,298.0,308.0,1524.0,37.0,49,0,1,False,True,False,False,False,False,Low,Medium
271,H29684,H,298.0,308.0,1520.0,39.6,51,0,0,False,True,False,False,False,False,Medium,Medium
272,M15131,M,298.1,308.1,1452.0,40.8,56,0,2,False,True,False,False,False,False,Medium,Medium
273,L47452,L,298.1,308.1,1484.0,40.4,59,0,1,False,True,False,False,False,False,Medium,Medium
274,L47453,L,298.1,308.0,1426.0,46.0,61,0,1,False,True,False,False,False,False,Medium,Medium
275,L47454,L,298.1,308.0,1652.0,28.5,63,0,1,False,True,False,False,False,False,Medium,High
276,L47455,L,298.0,308.0,1401.0,54.7,65,0,1,False,True,False,False,False,False,Medium,Medium
